Monat;Datum;Anlass;Veranstalter;Ort;;;;
1;5;Abteilungsversammlung;Feuerwehr-Abt. Wollbach;Kandertalstübli;;;;
1;6;Neujahrsempfang;Ortsverwaltung Wollbach;Kandertalhalle;;;;
1;11;2000er-Party;Füürdeufel Wollbach;Kandertalhalle;;;;
1;12;GoDi mit KGemRatswechsel;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
1;31;Jahreskonzert I;Musikverein Wollbach;Kandertalhalle;;;;
2;1;Jahreskonzert II;Musikverein Wollbach;Kandertalhalle;;;;
2;8;Generalversammlung;Gesangverein Wollbach;Kandertalstübli;;;;
2;8;Jugendturnier;Sportverein Wollbach;Kandertalhalle;;;;
2;9;Jugendturnier;Sportverein Wollbach;Kandertalhalle;;;;
2;13;Generalversammlung;Musikverein Wollbach;Kandertalstübli;;;;
2;15;Hexenball;Chanderner Hexen;Kandertalhalle;;;;
2;17;Blutspende; DRK-Ortsverein Wollbach;Kandertalhalle;;;;
2;20;Hemdglunki-Ball;Chochlöffel Wollbach;Kandertalstübli;;;;
2;29;Kinderfasnacht;Stachelbieschter;Kandertalhalle;;;;
3;6;Weltgebetstag;Kirchengemeinde Wollbach-Holzen;Wartburg Wollbach;;;;
3;7;Fasnachtsfeuer;Musikverein Wollbach;Buchhole Wollbach;;;;
3;17;Start Projekt-Chor;Gesangverein Wollbach;Kandertalstübli;;;;
3;21;Generalversammlung;Gesamt-Feuerwehr Kandern;Kandertalhalle;;;;
3;27;Generalversammlung;Sportverein Wollbach;Sportheim Wollbach;;;;
3;29;Konfirmationsjubiläum;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
4;26;Soireé;Gesangverein Wollbach;Kandertalhalle;;;;
5;1;Schänke am Bach;Feuerwehr-Abteilung Wollbach;Hammerstein;;;;
5;1;Maischänke   ;Chochlöffel Wollbach;Schmidt's Schüüre;;;;
5;1;Andechs-Hock;Gesangverein Wollbach;Erichs Schopf;;;;
5;3;Konfirmation    ;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
Mai;Do  10. ;Ufert-Gottesdienst;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
5;9;Barbershop-Konzert;Gesangverein Wollbach;Kandertalhalle;;;;
5;10;Jugendkonzert ;Musikverein Wollbach;Kandertalhalle;;;;
5;16;Marschmusik;Musikvereine Wollbach u Bannwil;Dorf;;;;
5;17;Platzeröffnung;Tennisclub Wollbach;Tennisplatz Wollbach;;;;
5;21;Ufert-Fam-Gottesdienst;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
5;21;Vatertags-Schänke;Wiigeischter Wollbach;Erichs Schopf;;;;
5;21;Erdbeerfest;Rüttehof mit Vereinsunterstützg.;Rüttehof;;;;
5;23;Zeltlager;Jugend-Feuerwehren;bei Kandertalhalle;;;;
5;29;Vorspiel der Jugend;Musikverein Wollbach;bei Kandertalhalle;;;;
6;12;Open-air-Konzert;Musikverein Wollbach;Forsthof/ggf. Halle;;;;
6;13;Open-air-Konzert;Musikverein Wollbach;Forsthof/ggf. Halle;;;;
7;4;Sommerlichter;Rüttehof mit Vereinsunterstützg.;Rüttehof;;;;
7;4;Chor-Festival;Gesangverein Wollbach;Forsthof/ggf. Halle;;;;
7;5;Konzert d Knast-Brüder;Gesangverein Wollbach;Forsthof/ggf. Halle;;;;
7;26;Gottesdienst + Kirchplatzhock;Kirchengemeinde Wollbach-Holzen;Kirchplatz Wollbach;;;;
8;2;Feuerwehrfest;Feuerwehr-Abteilung Wollbach;Rathaus-Innenhof;;;;
9;12.-14.;Budenfest Kandern;div. Vereine;Blumenplatz Kdn;;;;
9;26;Jubiläumsfest;Gesangverein Wollbach;Kandertalhalle;;;;
10;4;Erntedankfest;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
10;4;Öpfelfescht;Rüttehof mit Vereinsunterstützg.;Rüttehof;;;;
10;10;Herbstfest/Sauserexpress;Musikverein Wollbach;Kandertalhalle;;;;
10;11;Herbstfest;Musikverein Wollbach;Kandertalhalle;;;;
11;14;Mainzer Hofsänger;Gesangverein Wollbach;Ev. Kirche Wollbach;;;;
11;14;Fasnachtsauftakt;Füürdeufel Wollbach;Kandertalhalle;;;;
11;15;Gedenkfeier Volkstrauertag;Ortsverwaltung Wollbach;Ehrenmal Wollbach;;;;
11;27;Adventsbasar;Musikverein Wollbach;Forsthof ;;;;
11;29;Wartburgfest;Kirchengemeinde Wollbach-Holzen;Kandertalhalle;;;;
11;29;Weihnachtslichter;Rüttehof mit Vereinsunterstützg.;Rüttehof;;;;
12;5;Jugend-Weihnachtsfeier;Sportverein Wollbach;Sportheim Wollbach;;;;
12;13;Seniorennachmittag;Kirchengemeinde Wollbach-Holzen;Wartburg Wollbach;;;;
12;13;Jugendvorspiel;Musikverein Wollbach;Ev. Kirche Wollbach;;;;
12;24;Heiligabend-Krippenspiel;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach;;;;
